"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1240",0.48,0.18,0.67,0.44,0.73,0.7,0.96,0.94,0.55,0.52,0.62,0.66,0.89,0.7,0.78,0.94
"SPO1241",1.1,1.1,1.1,1.1,1,1.1,1,1.1,1.1,1.1,1,1.1,1.1,1.1,0.94,1.1
"SPO1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1243",1.1,0.98,0.93,1.1,1.1,1.1,0.54,1.2,1.3,0.93,0.93,0.89,1.3,1.1,0.74,1
"SPO1244",1.1,1.1,1,1.7,1.1,0.53,0.94,1.5,1.1,0.89,0.99,1.3,1.2,0.78,0.77,1.3
"SPO1245",1.1,0.99,1.1,1,1.1,1.1,1,1.1,1.1,1.1,0.99,1.1,1,1,0.95,1
"SPO1246",0.77,0.6,0.17,0.72,0.67,0.93,0.75,0.87,0.63,0.78,0.66,0.62,1,0.56,0.89,0.63
"SPO1247",1,0.74,0.95,0.78,1,0.72,1,0.8,0.86,0.94,0.92,0.86,0.74,0.8,0.92,0.96
"SPO1249",1.1,1.1,1.1,1.1,1,1.1,1,1,1.1,1.1,1,1,1,1.1,1,1.1
"SPO1250",0.91,1.6,1.1,1.3,1.1,1.4,1.2,1.1,1.2,1.3,1.2,0.93,1,1.2,0.87,1
"SPO1251",0.9,1,1.1,0.89,1.1,0.99,1.1,0.89,0.8,0.95,1,1,0.95,0.69,1.1,0.83
"SPO1252a",1.2,1.2,1.1,0.9,1.2,1,1.1,1,1.1,1.1,1,1,1.2,1,1.1,1
