mean,lwrCL,uprCL,spo,naCount
0.981,0.956,1.004,SPO3684,0
1.023,1.009,1.044,SPO3685,0
1.029,0.99,1.066,SPO3686,0
0.977,0.956,1.002,SPO3687,0
0.969,0.953,0.982,SPO3688,0
0.892,0.87,0.911,SPO3689,0
0.97,0.933,1.002,SPO3690,0
0.899,0.841,0.956,SPO3691,0
1.019,1.001,1.035,SPO3692,0
1.024,0.997,1.052,SPO3693,0
1.03,0.998,1.073,SPO3694,0
0.992,0.962,1.022,SPO3695,0
0.92,0.876,0.963,SPO3696,0
0.968,0.93,1.001,SPO3697,0
1.003,0.952,1.047,SPO3698,0
0.984,0.943,1.028,SPO3699,0
0.966,0.942,0.99,SPO3700,0
0.958,0.939,0.98,SPO3701,0
1.026,0.987,1.067,SPO3702,0
0.934,0.9,0.969,SPO3703,0
1.017,0.989,1.046,SPO3704,0
0.965,0.927,1.007,SPO3705,0
0.871,0.83,0.905,SPO3706,0
0.959,0.914,1.003,SPO3707,0
1.025,1.002,1.05,SPO3708,0
0.988,0.958,1.017,SPO3709,0
1.01,0.985,1.035,SPO3710,0
0.961,0.942,0.981,SPO3711,0
NA,NA,NA,SPO3712,10000
1.018,0.99,1.045,SPO3713,0
1.014,0.993,1.036,SPO3714,0
1.014,0.982,1.047,SPO3715,0
0.939,0.888,0.988,SPO3716,0
0.978,0.931,1.015,SPO3717,0
0.995,0.932,1.069,SPO3718,0
0.833,0.79,0.877,SPO3719,0
1.036,1.021,1.052,SPO3720,0
1.038,0.998,1.079,SPO3721,0
1.011,0.983,1.039,SPO3722,0
0.951,0.917,0.979,SPO3723,0
0.93,0.838,1.022,SPO3724,0
0.999,0.909,1.089,SPO3725,0
1.062,1.045,1.078,SPO3726,0
1.01,0.996,1.024,SPO3727,0
1.018,0.997,1.036,SPO3728,0
1.003,0.977,1.024,SPO3729,0
1.068,1.035,1.102,SPO3730,0
1.022,0.984,1.055,SPO3731,0
1,0.988,1.014,SPO3732,0
1.012,0.966,1.048,SPO3733,0
0.958,0.922,0.993,SPO3734,0
1.005,0.974,1.034,SPO3735,0
1.011,0.96,1.061,SPO3736,0
NA,NA,NA,SPO3737,10000
0.922,0.852,0.996,SPO3738,0
1.011,0.979,1.04,SPO3739,0
0.971,0.942,0.995,SPO3740,0
1.014,0.999,1.03,SPO3741,0
0.956,0.925,0.986,SPO3742,0
0.979,0.938,1.025,SPO3743,0
0.469,0.148,0.758,SPO3744,0
1.106,0.999,1.2,SPO3745,332
1.03,0.847,1.206,SPO3746,0
0.979,0.953,1.007,SPO3747,0
0.987,0.938,1.037,SPO3748,0
0.999,0.973,1.027,SPO3749,0
0.963,0.941,0.988,SPO3750,0
0.998,0.97,1.031,SPO3751,0
1.003,0.957,1.048,SPO3752,0
0.979,0.946,1.009,SPO3753,0
1.023,0.957,1.081,SPO3754,0
0.551,0.21,0.796,SPO3755,0
0.994,0.977,1.01,SPO3756,0
1.011,0.987,1.034,SPO3757,0
1.043,1.008,1.079,SPO3758,0
1.008,0.981,1.035,SPO3759,0
0.951,0.932,0.97,SPO3760,0
NA,NA,NA,SPO3761,10000
1.015,0.995,1.034,SPO3762,0
0.957,0.894,1.015,SPO3763,0
NA,NA,NA,SPO3764,10000
0.98,0.92,1.029,SPO3765,0
0.928,0.872,0.985,SPO3766,0
0.978,0.943,1.007,SPO3767,0
0.361,0.325,0.407,SPO3768,0
0.385,0.198,0.529,SPO3769,0
0.479,0.457,0.501,SPO3770,0
0,0,0,SPO3771,3139
1.024,1.015,1.033,SPO3772,0
0.982,0.964,0.997,SPO3774,0
1.007,0.99,1.025,SPO3775,0
0.991,0.974,1.007,SPO3776,0
0.993,0.959,1.019,SPO3777,0
0.96,0.93,0.995,SPO3778,0
0.966,0.932,1.002,SPO3779,0
0.966,0.914,1.017,SPO3780,0
0.969,0.869,1.061,SPO3781,0
1.016,0.958,1.068,SPO3782,0
0.937,0.911,0.966,SPO3783,0
0.949,0.905,0.989,SPO3784,0
0.939,0.895,0.978,SPO3785,0
0.963,0.911,1.017,SPO3786,0
0.968,0.951,0.987,SPO3787,0
0.992,0.968,1.016,SPO3788,0
0.991,0.9,1.062,SPO3789,0
0.944,0.91,0.984,SPO3790,0
0.927,0.89,0.964,SPO3791,0
0.973,0.926,1.008,SPO3792,0
0.964,0.936,0.996,SPO3793,0
1.056,0.979,1.114,SPO3794,0
1.028,1.008,1.046,SPO3795,0
0.944,0.919,0.967,SPO3802,0
0.963,0.929,0.994,SPO3803,0
1.073,1.058,1.088,SPO3804,0
1.085,1.062,1.105,SPO3805,0
0.908,0.863,0.954,SPO3806,0
0.972,0.885,1.05,SPO3807,0
0.984,0.934,1.035,SPO3808,0
0.967,0.921,1.024,SPO3809,0
